degree,thetas,alpha,max_iter
1,"[[0.0792483433403599], [0.9390237975222001], [0.04014789526470669], [0.07685946747902106]]",5e-05,50000
2,"[[0.03850588566822791], [0.9400313024835235], [-0.15290813665960018], [0.03742833113069122], [0.20399385096052325], [0.07730121319964994], [-0.05484412454526956]]",5e-05,50000
3,"[[0.03709911845721671], [0.6818192502566466], [-0.15283849143612405], [0.12609589078186964], [0.23446035888213113], [0.20960981389328046], [-0.09978588600243134], [0.29721924727939175], [-0.05499174625557954], [-0.1484452694029416]]",5e-05,50000
4,"[[0.006568866394123312], [0.6813061339187131], [0.18424226148540251], [0.12676377550002746], [-0.1612273066392334], [0.22457413976884685], [0.2980990566922153], [-0.09374548175786555], [-0.03471132383874266], [0.2948648423345319], [0.199685956854459], [-0.1476397711272645], [-0.11876113429364203]]",5e-05,50000
